Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Infiction Labs,Robotics company dedicated to automate operations and maintenance of a Solar Power plant.,https://www.infictionlabs.com,India,https://www.linkedin.com/company/infiction-labs-private-limited/?originalSubdomain=in,2014,0.0684,Seed,Energy,Solar,Prototype,"Artesian, MARL Accelerator, BRINC",Manjunath Gowda,https://www.linkedin.com/in/manjunathg/,Co-Founder and CIO,Gurudeep Gopalakrishna,https://www.linkedin.com/in/gurudeep-gopalakrishna-11833a97/,Co-Founder and CTO,Havish Sreenath,https://www.linkedin.com/in/havish-sreenath-60209abb/,Co-Founder and CEO,,,,,,,,,
Green Ecstasy Foods,Offers plant-based vegan alternatives for traditional dairy products.,http://veganta.in,India,https://www.linkedin.com/company/veganta/,2021,,Pre-Seed,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
CHUK,Compostable tableware made from sugarcane residue.,https://chuk.in,India,https://www.linkedin.com/company/chuk/,2017,,Pre-Seed,Industry,"Packaging, Waste & recycling",Prototype,,Nihal Kaushik,,Regional Sales Head,,,,,,,,,,,,,,,
Mighty Food,Developing plant-based alternatives to traditional meats with bold flavors.,https://themightyfood.com,India,https://www.linkedin.com/company/mighty-food/about/,2021,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Dibyendu Bindal,https://www.linkedin.com/in/dibyendu-bindal-94185bb/,Co-founder,,,,,,,,,,,,,,,
SYS3E Technologies,Specializes in power systems engineering and renewable energy integration.,https://www.sys3e.com,India,https://www.linkedin.com/company/sys3e-technologies/?originalSubdomain=in,2016,0.21,Pre-Seed,Energy,"Grid management, Renewables development",Pilot,"Social Alpha (India), Venture Center",Sudhir Muthyala,https://www.linkedin.com/in/dr-sudhir-muthyala-a8431523/?miniprofileurn=urn:li:fs_miniprofile:acoaaatadmqbprgrs3nel7fm9dgjg74if8bvngo,Co-Founder,,,,,,,,,,,,,,,
Turno,One-stop destination to buy all best-selling commercial electric vehicles available in the market.,https://www.turno.club,India,https://www.linkedin.com/company/turnoclub/?originalSubdomain=in,2022,22.9,Series A,Transportation,EV charging / fleet management,Launch,"Quona Capital, British International Investment",,,,,,,,,,,,,,,,,,
Free Spirits Green Labs,"Offers eco-friendly, biodegradable tableware made from plant-based materials.",https://freespirits.in,India,https://www.linkedin.com/company/free-spirits/,2014,0.0312,Seed,Industry,Consumer products,Pilot,IIMA Ventures,Kovid Batra,https://www.linkedin.com/in/kovid-batra-73b38368/,Co-Founder,,,,,,,,,,,,,,,
Hygenco,Focuses on green hydrogen production and related infrastructure.,https://www.hygenco.in,India,https://www.linkedin.com/company/hygenco/,2020,25,Series A,Energy,Hydrogen,Launch,SBI Ventures,Amit Bansal,https://www.linkedin.com/in/amitbansal1234/?originalsubdomain=in,CoFounder,,,,,,,,,,,,,,,
Harvested Robotics,Enhances crop productivity with advanced agricultural technology for higher yields.,https://www.harvestedlabs.com,India,https://www.linkedin.com/company/harvested-robotics/,2023,0.2,Pre-Seed,Food & land use,Indoor farming,,Mahindra University,Rahul Arepaka,https://www.linkedin.com/in/rahul-arepaka/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=in,Co-founder & CEO,,,,,,,,,,,,,,,
Bijak,B2B agricultural commodities trading marketplace for agriculture suppliers and buyers across India’s Agri value chain.,https://bijak.in,India,https://www.linkedin.com/company/bijakapp/,2019,34.3,Series B,Food & land use,Other,Scale-up,"FIED Incubator, Omnivore, Peak XV Partners (Sequoia Capital India)",Nukul Upadhye,https://www.linkedin.com/in/nukulupadhye/?originalSubdomain=in,Co-founder and CEO,Nikhil Tripathi,https://www.linkedin.com/in/nikhilnit/,Co-founder,,,,,,,,,,,,
Ola Electric,Electric two wheeler manufacturer with mass reach.,https://www.olaelectric.com,India,https://www.linkedin.com/company/olaelectric/,2017,1700,Series C and Beyond,Transportation,Autos,,"Archerman Capital, Blue Investment Group",Bhavish Aggarwal,https://www.linkedin.com/in/bhavishaggarwal,Co-Founder,,,,,,,,,,,,,,,
AXIA Foods,Specializing in plant-based meat products with a focus on taste and texture.,https://axiafood.com,India,,0,,,Food & land use,Alternative foods,Scale-up,,Jasmin K Shaikh,https://www.linkedin.com/in/jasmin-k-shaikh-652b4830/?originalSubdomain=in,CEO & Founder,,,,,,,,,,,,,,,
Terra Bioware,Building next-generation renewable biochemicals for high value applications.,https://www.terrabioware.co,India,https://www.linkedin.com/company/terra-bioware/,2022,0.12,Seed,Industry,Chemicals & plastics,R&D,"NITI Aayog, We Founder Circle",Praveen Kumar Singh,https://www.linkedin.com/in/praveen-kumar-singh-0b0110123/,Principal Scientist,Shruti Singh,https://www.linkedin.com/in/shruti-singh-091a48a6/,Co-founder and CEO,,,,,,,,,,,,
Plant Veda,Offering plant-based dairy alternatives with a focus on nutrition and sustainability.,https://www.plantveda.com,India,https://www.linkedin.com/company/plantveda/,2019,1.2,,Food & land use,Alternative foods,Scale-up,Beyond Investing,Sunny Gurnani,,,,,,,,,,,,,,,,,
Entuple Mobility,Specializes in electric powertrains and charging solutions for EVs.,https://www.entuplemobility.com,India,https://www.linkedin.com/company/entupleemobility/,2019,3.14,Pre-Series A,Transportation,EV charging / fleet management,Launch,"Blue Avsha Capital, Capital A",Rakesh Mishra,https://www.linkedin.com/in/rakesh-mishra-919732187/?originalSubdomain=in,Founder and CEO,,,,,,,,,,,,,,,
AyeKart,Empowering traditional business networks by digitising the food & agri value chain with embedded finance and services.,https://ayekart.com,India,https://www.linkedin.com/company/ayekart/,2020,12.9,Series A,Food & land use,Other,Launch,"Omnivore, Siana Capital",Debarshi Dutta,https://www.linkedin.com/in/debarshi-dutta-29497713/?originalSubdomain=in,Co-founder and CEO,Milind Borgikar,https://www.linkedin.com/in/milind-b-10a787114/,CTO,,,,,,,,,,,,
Pixxel,A health monitor for the planet with a constellation of hyperspectral small satellites to provide unparalleled data for earth observation.,https://www.pixxel.space,India,https://www.linkedin.com/company/pixxelspace/,2018,95,Series B,Climate management,"Earth observation, Crop yield",Scale-up,"Omnivore, NB Ventures, Accenture Ventures, Radical Ventures, Lightspeed Venture Partners",,,,,,,,,,,,,,,,,,
Katharos,D2C brand selling plant-based butter and cheese.,http://www.katharosfoods.com,India,https://www.linkedin.com/company/katharos-foods/,2019,,Pre-Seed,Food & land use,Alternative foods,,Humane Entrepreneurship Program,,,,,,,,,,,,,,,,,,
Fermbox,Microbial fermentation technology for sustainable food production.,https://fermbox.bio,India,https://www.linkedin.com/company/fermbox-bio/,2022,2.6,Seed,Food & land use,Alternative foods,R&D,"3one4 Capital, Speciale Invest","Subramani ""suBBu"" Ramachandrappa",linkedin.com/in/subramani-ramachandrappa-7179b82,,,,,,,,,,,,,,,,
BVeg Foods,Providing high-quality plant-based meat products for a sustainable future.,https://www.bvegfoods.com,India,https://www.linkedin.com/company/bveg-foods/,2019,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Akanksha Ghai,https://www.linkedin.com/in/akanksha-ghai-4921151a0/?originalSubdomain=in,Co-founder,Prateek Ghai,https://www.linkedin.com/in/prateek-ghai-5535ab44/?originalSubdomain=in,Co-founder,,,,,,,,,,,,
RecommerceX,Provides electronic waste management and recycling solutions.,https://recommercex.com,India,https://www.linkedin.com/company/recommercex/,2024,3.6,Seed,"Transportation, Industry","Batteries, Chemicals & plastics, Waste & recycling",R&D,"Accel, Kae Capital",Ajay Gupta,https://www.linkedin.com/in/ajay-gupta-0a78251a/,Co-Founder and COO,Shobhit Goel,https://www.linkedin.com/in/shobhitgoel/,Co-Founder and CEO,Mohit Gulyani,https://www.linkedin.com/in/mohit-gulyani-30664519/,Co-Founder and Chief Business Officer,,,,,,,,,
Progo Foods,Developing protein-rich foods with a focus on health and sustainability.,https://www.progofoods.com,India,https://www.linkedin.com/company/progofoods/,2021,,Pre-Seed,Food & land use,Alternative foods,Prototype,,Yashvanthraa Mohanraj,,,,,,,,,,,,,,,,,
Sea6 Energy,Developer of large-scale mechanized systems for cultivating and processing tropical seaweed into biofuel and other eco-friendly products.,https://www.sea6energy.com,India,https://www.linkedin.com/company/sea6-energy-private-limited/,2010,30,Series B,Energy,"Renewables development, Manufacturing",Launch,"Tata Capital Innovation Fund, Aqua-Spark, Silverstrand Capital",Sri Sailaja Nori,https://www.linkedin.com/in/sri-sailaja-nori-b3486b62/,Co-founder and CSO,Nelson Vadassery,https://www.linkedin.com/in/nelson-vadassery-6488033a/,Co-founder,Sowmya Balendiran,https://www.linkedin.com/in/sowmya-balendiran-735ab8b/,Co-founder and CBO,,,,,,,,,
OatMlk,Offering plant-based oat milk as a sustainable alternative to dairy.,https://www.oatmlk.in,India,https://www.linkedin.com/company/oatmlk/,2021,0.132,Seed,Food & land use,Alternative foods,Launch,,Akash Wadhwani,https://www.linkedin.com/in/akashwadhwani/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABa3UzcBSL0IgwVVoIb_7pLc8OGRtwTvleA,Co-founder,Rishabh Gupta,https://www.linkedin.com/in/rishabh-gupta-8359345b/,Co-founder,,,,,,,,,,,,
Eat with Better (Chateau Vert Pvt. Ltd.),Plant-based meat with ingredient focus on jackfruit.,https://eatwithbetter.com,India,https://www.linkedin.com/company/eatwithbetter/,2019,,Seed,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
Sproutiens,Develops plant-based protein products from sprouted ingredients.,https://sprouteins.com,India,,2023,,Pre-Seed,Food & land use,Alternative foods,Idea,,Pankaj Patidar,https://www.linkedin.com/in/pankaj-patidar-560a9128b/,Founder,,,,,,,,,,,,,,,
Binbag,An e-waste management company that offers recycling services for electronic waste.,https://www.binbag.in,India,https://www.linkedin.com/company/binbag/?originalSubdomain=in,2014,0.02,Angel,Industry,Waste & recycling,Pilot,"Villgro, NSRCEL-IIMB",Achitra Borgohain,https://www.linkedin.com/in/achitrab/,Founder,,,,,,,,,,,,,,,
Sheru,Cloud-based energy storage solutions.,https://sheru.se,India,https://www.linkedin.com/company/sheru/,2019,1.1,Seed,Energy,"Energy storage, Grid management",Launch,"Venture Catalysts, Soonicorn Ventures",Ankit Mittal,https://www.linkedin.com/in/ankitmttl/,Co-founder and CEO,Nakul Mehan,https://www.linkedin.com/in/nakulmehan/,Co-founder ans CTO,,,,,,,,,,,,
AgNext,"AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",https://agnext.com,India,https://www.linkedin.com/company/agnextworld/,2016,25,Series A,Food & land use,Other,Scale-up,"Omnivore, Kalaari Capital",,,,,,,,,,,,,,,,,,
Oben Electric,A startup developing high-performance electric motorcycles for the Indian market.,https://obenelectric.com,India,https://www.linkedin.com/company/oben-ev/?originalSubdomain=in,2020,18,Series A,Transportation,Autos,Launch,"MAVM Angels Network, Kubera Venture Capital, Ambis Holding",Madhumita Agarwal,https://www.linkedin.com/in/madhumitaagrawal/,Co-Founder,,,,,,,,,,,,,,,
FaunaTech,"Building the first smartphone-connected, hand-held agri diagnostic platform to measure important biomarkers in milk, fish, meat.",https://www.faunatechsolutions.com,India,https://linkedin.com/company/faunatech/,2020,0.8,Seed,Food & land use,Livestock,Prototype,"AgFunder, Beyond Next Ventures",Aashrith Ramesh,https://www.linkedin.com/in/aashrith-ramesh-825a3317/,Head of Business Operations,Rajat Pandya,https://www.linkedin.com/in/rajatpandya/,Co-founder and Director,,,,,,,,,,,,
MoEVing,Offers electric vehicle fleet solutions for sustainable logistics and transportation.,https://moeving.com,India,https://www.linkedin.com/company/moeving-urban-freight/,2021,13.4,Series A,Transportation,"Micromobility, EV charging / fleet management",Scale-up,"JSW Ventures, BeyondTeq",Vikash Mishra,https://www.linkedin.com/in/vikash-mishra-b296292/,Co-Founder and CEO,Mragank Jain,https://www.linkedin.com/in/mragank-jain/,Co-Founder and Chief Strategy Officer,Pramod Marar,https://www.linkedin.com/in/pramod-marar/,Co-Founder,,,,,,,,,
Simple Energy,Manufacturer of electric two-wheelers focusing on sustainable mobility solutions in India.,https://www.simpleenergy.in,India,https://www.linkedin.com/company/simple-energy-pvt-ltd/,2019,20,Series A,"Transportation, Energy","Micromobility, Batteries",Scale-up,Desai Ventures,Suhas Rajkumar,https://www.linkedin.com/in/suhas-rajkumar-277824150/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=in,Co-Founder and CEO,Kiran Poojary,https://www.linkedin.com/in/kiran-poojary-aba50254/,Co-Founder and CTO,Sheetal Shetty,https://www.linkedin.com/in/sheetal-shetty-52b9bb137/,Co-Founder and CIO,Shreshth Mishra,https://www.linkedin.com/in/shreshth03/,Co-Founder and CMO,Ankit Gupta,https://www.linkedin.com/in/ankit-gupta-2b280015/,Co-Founder,,,
Aqin Biotech,"Sustainable, high performance aquaculture feed produced through patented biotech process of insects & novel raw ingredients.",https://aqin.in,India,https://www.linkedin.com/company/aqin/,2023,,Pre-Seed,Built environment,Aquaculture,R&D,Faad Network,Sumit Saxena,https://www.linkedin.com/in/rajatmala/,CEO,Rajat Mala,https://www.linkedin.com/in/rajatmala/,Co-Founder and CTO,,,,,,,,,,,,
MilkinOats,Creating oat-based milk alternatives that are rich in flavor and nutrition.,https://milkinoats.com,India,https://www.linkedin.com/company/milkinoats/?viewAsMember=true,2020,0.05,Pre-Seed,Food & land use,Alternative foods,Scale-up,Huddle,Ashna Goel,https://www.linkedin.com/in/ashna-goel/?originalSubdomain=in,Founder and MD,,,,,,,,,,,,,,,
FemtoFarad,Sustainable food by combining fermentation and agriculture to extract plant based non-gmo heme proteins.,https://www.femtofarad.com,India,https://www.linkedin.com/company/femtofarad-private-limited/,2019,,Pre-Seed,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
XYMA Analytics,Ultrasonic waveguide-based sensors to address the critical need of industries in high-temperature applications.,https://www.xyma.in,India,https://www.linkedin.com/company/xyma-analytics/,2019,1.02,Pre-Seed,Industry,Manufacturing,Launch,"The Center of Excellence for IoT India (NASSCOM), GAIL, IIT Madras Incubation Cell",Aswin Kathirvel,https://www.linkedin.com/in/aswin-kumar-kathirvel-339032a3/,Co-founder & CTO,Prabhu Rajagopal,https://www.linkedin.com/in/prabhu-rajagopal-041ab74/,Co-Founder and Strategist,Nishanth Raja,https://www.linkedin.com/in/nishanthraja/,Co-Founder and CEO,Krishnan Balasubramanian,https://www.linkedin.com/in/krishnan-balasubramanian-534145157/,Co-Founder,,,,,,
Hacklab Solutions,Provider of IIoT and AI solutions intended to offer advanced real-time monitoring platforms SAFFR and TRAKR that maximizes productivity and safety across industrial sectors.,https://www.hacklab.solutions,India,https://www.linkedin.com/company/hacklab-solutions/?originalSubdomain=in,2017,0.046,Seed,Industry,Manufacturing,Launch,"NASSCOM DeepTech Club , Ministry of Electronics and Information Technology",Vikram Rastogi,https://www.linkedin.com/in/vrastogi89/,Co-Founder and CEO,Bharat Bhushan,https://www.linkedin.com/in/svnitbharat/,Co-Founder and COO,,,,,,,,,,,,
SunFuel Electric,Provides residential and commercial solar energy solutions.,https://www.sunfuelelectric.com,India,https://www.linkedin.com/company/sunfuelelectric/,2020,0.58,Pre-Seed,Transportation,EV charging / fleet management,Pilot,Sunjay Kapur Family Office,Sudhir Nayak,https://www.linkedin.com/in/nayaksudhir/,Founder,,,,,,,,,,,,,,,
Poshn,Simplifying food ecosystem through our full-stack supply chain solution.,https://poshn.co,India,https://www.linkedin.com/company/poshn/,2020,9.8,Seed,Food & land use,"Crop yield, Sustainable finance",Scale-up,"Prime Venture Partners, Zephyr Peacock India",Shashank Singh,https://www.linkedin.com/in/shashankshekhar-singh/,Co-Founder,Bhuvnesh Gupta,https://www.linkedin.com/in/bhuvgupta/,Co-Founder,,,,,,,,,,,,
Agromatic Nutrifoods,Developing affordable and sustainable plant-based meat and dairy alternatives.,https://agromaticfoods.com,India,https://in.linkedin.com/company/agromatic-nutrifoods-pvt-ltd,2021,,,Food & land use,Alternative foods,Idea,,Vishal Baid Jain,https://www.linkedin.com/in/vishalbaidjain/?trk=public_profile_browsemap&originalSubdomain=in,CEO and Co-founder,,,,,,,,,,,,,,,
BGauss,A company that designs and manufactures electric scooters for urban mobility.,https://www.bgauss.com,India,https://www.linkedin.com/company/bgauss/,2019,7.35,Series A,Transportation,Micromobility,Scale-up,RR Global,Daniel Esaw,https://www.linkedin.com/in/daniel-esaw-58389a188/,Chief Techical Officer,,,,,,,,,,,,,,,
Greenest Foods,"Creating the next generation of plant-based meals to improve the nutrition, taste and environmental footprint of food.",https://greenestfoods.com,India,https://www.linkedin.com/company/upstablish/?originalSubdomain=in,2017,1,Pre-Seed,Food & land use,Alternative foods,Scale-up,Better Bite Ventures,Gaurav Sharma,https://www.linkedin.com/in/gaurav-sharma-5852911a/,Co-founder and CEO,,,,,,,,,,,,,,,
oorja,Simplifies engineering design and deployment processes.,https://oorja.energy,India,https://www.linkedin.com/company/oorja-energy/,2022,1.5,Pre-Series A,Transportation,"EV charging / fleet management, Batteries",Pilot,"Anicut Capital, Micelio Fund",Vineet Dravid,https://www.linkedin.com/in/vineet-dravid-9478a1/,Co-Founder and CEO,Prashant Srivastava,https://www.linkedin.com/in/prashant-kumar-srivastava-205128131/,Co-Founder and CTO,Prajakta Sabnis,https://www.linkedin.com/in/prajakta-vaidya-sabnis-1b820818/,Co-Founder and CEnO,,,,,,,,,
Tata Simply Better,Offering healthier and sustainable food products under the Tata brand.,https://www.tataconsumer.com,India,,2021,,,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
Alt Foods,Producing dairy-free milk alternatives from traditional grains.,https://altfoods.in,India,,2020,0.0145,,Food & land use,Alternative foods,R&D,"Ahimsa VC (India), ProVeg Incubator",Sweta Khandelwal,https://www.linkedin.com/in/sweta-khandelwal-b6b4441a8/?originalSubdomain=in,Co-founder & COO,Aman Khandelwal,https://www.linkedin.com/in/aman-khandelwal-65818011a/,Co-founder and CEO,,,,,,,,,,,,
PURE EV,An electric vehicle startup specializing in electric scooters and lithium-ion batteries.,https://www.pureev.in,India,https://www.linkedin.com/company/pureevindia/,2016,7.9,Series A,Transportation,"Autos, Batteries",Scale-up,Bennett Coleman and Co Ltd,Rohit Vadera,https://www.linkedin.com/in/rohit-vadera/?originalSubdomain=in,Chief Executive Officer,Nishanth Dongari,https://www.linkedin.com/in/nishanthdongari/,Founder,,,,,,,,,,,,
Skyware,Provides cloud-based solutions for efficient farm management and decision-making.,https://www.skyware.in,India,https://www.linkedin.com/company/skyware-automation/?viewAsMember=true,2021,,Pre-Seed,Climate management,Climate risk,Prototype,"IIMCIP, JioGenNext",,,,,,,,,,,,,,,,,,
AgriFi.AI,AI-powered spacetech analytics platform dedicated to providing impact-driven insights to enhance financial inclusion and productivity for smallholder farmers.,https://agrifi.ai,India,https://www.linkedin.com/company/agri-fi-ai/,2020,0.6,Seed,Food & land use,"Crop yield, Earth observation, Climate risk",Launch,"GROW , SOSV, Raiseup",Abhilash Thirupathy,https://www.linkedin.com/in/abhilashthirupathy/,Co-founder and CEO,Kapil Chawala,https://www.linkedin.com/in/kapilkumarchawala/,Co-founder and CSO,,,,,,,,,,,,
Carragreen,"A company offering eco-friendly, biodegradable packaging solutions.",https://carragreen.com,India,https://www.linkedin.com/company/carragreen/,2018,0.0657,Angel,Industry,"Packaging, Waste & recycling",Launch,NSRCEL-IIMB,Surabhi Shah,https://www.linkedin.com/in/surabhi-shah-82442414/,Director,,,,,,,,,,,,,,,
Alt Co.,Plant-based milk and chocolates with focus on oats.,https://alt.company,India,https://www.linkedin.com/company/the-alt-company/?originalSubdomain=in,2020,1,Seed,Food & land use,Alternative foods,Launch,RB Investments,Basan Patil,,Co-founder,Rithwik Ramesh,https://www.linkedin.com/in/rameshchintakunta/,Co-founder,,,,,,,,,,,,
Chakr Innovation,Develops emission control devices that capture particulate matter from diesel generators.,https://chakr.in,India,https://www.linkedin.com/company/chakr/,2016,6.92,Seed,Industry,Waste & recycling,Launch,"SBI Ventures, Riverwalk Holdings",Kushagra Srivastava,https://www.linkedin.com/in/kushagra-srivastava-b68b2787/,Chief Executive Officer,,,,,,,,,,,,,,,
Navitas Solar,Provides solar energy solutions for clean and efficient power.,https://navitassolar.in,India,https://www.linkedin.com/company/navitassolar/,2013,5.15,Series A,Energy,Solar,Pilot,"Lemon Emerging Ventures, Parishi Diamond",Vineet Mittal,https://www.linkedin.com/in/vineet-mittal-33406620/,Co-Founder,,,,,,,,,,,,,,,
Fasal,AI and IoT-based precision agriculture platform that optimizes water and pesticide use to increase crop yield and quality.,https://fasal.co,India,https://www.linkedin.com/company/fasal/,2018,19.4,Series A,Food & land use,Crop yield,Scale-up,"Aureolis Ventures, Wavemaker Ventures, Navam Capital, TDK Ventures",Shailendra Tiwari,https://www.linkedin.com/in/shailendra-tiwari-93015444/,Co-founder,Ananda Verma,https://www.linkedin.com/in/ananda-verma-a8b42b1b/,Co-founder,,,,,,,,,,,,
Battery Smart,India's largest EV battery-swapping network on a mission to make electric mobility accessible and affordable for all.,https://www.batterysmart.in,India,https://www.linkedin.com/company/batterysmart/?originalSubdomain=in,2019,103,Series B,Transportation,"EV charging / fleet management, Batteries",Scale-up,"Blume Ventures, Green Frontier Capital, Orios Venture Partners, Rising Tide Energy, Ecosystem Integrity Fund, LeapFrog Investments, responsAbility Investments",Siddharth Sikka,https://www.linkedin.com/in/sikkasiddharth/,Co-founder,Pulkit Khurana,https://www.linkedin.com/in/pulkitkhurana/,Co-founder and CEO,,,,,,,,,,,,
Novel Foods,Biomass fermentation products chicken nuggets and patties.,,India,,2022,,Pre-Seed,Food & land use,Alternative foods,Idea,,Gaurav Batra,,Founder,,,,,,,,,,,,,,,
Strawcture Eco,Green building material company commercialising 100% Sustainable products by compressed agri- fiber technology.,https://strawcture.com,India,https://www.linkedin.com/company/strawcture-eco/,2018,0.5,Seed,Built environment,Construction,Launch,"Brigade REAP, Unreasonable Impact, Third Derivative, Social Alpha",Shriti Pandey,https://www.linkedin.com/in/shriti-pandey-80a9a9a1/,Founder and CEO,,,,,,,,,,,,,,,
CarbonCraft,"Converting carbon emissions into carbon negative, affordable and aesthetically beautiful tiles & help businesses decarbonise their buildings.",https://www.carboncraftdesign.com,India,https://www.linkedin.com/company/carboncraftdesign/?originalSubdomain=in,2016,0.3,Seed,Built environment,"Construction, Carbon capture & storage",Pilot,"ClimateLaunchpad, Deshpande Startups",M Karthick Srinivas,https://www.linkedin.com/in/dr-m-karthick-srinivas-a55804219/,Head of R&D,Tejas Sidnal,https://www.linkedin.com/in/tejas-sidnal-29b03751/,Founder and CEO,,,,,,,,,,,,
Devigere Biosolutions,Developing innovative plant-based food ingredients for health and sustainability.,https://devigerebiosolutions.in,India,https://www.linkedin.com/company/devigere-biosolutions-pvt-ltd/,2020,,Pre-Seed,Food & land use,Alternative foods,Scale-up,"IIMK LIVE, Bangalore Bioinnovation Centre, Rainmatter Capital",Abhishek Devigere,,,Smitha Devigere,https://www.linkedin.com/in/smitha-devigere-a5043622/,Founder,,,,,,,,,,,,
CercleX,"A platform focused on circular economy, enabling waste material recycling.",https://cerclex.com,India,https://www.linkedin.com/company/cerclex/,2020,0.03,Pre-Seed,Industry,Waste & recycling,Pilot,Inflection Point Venture,Vishnu Vardhaan,https://www.linkedin.com/in/vshvrdhn/,Co-founder and Chief Executive Officer,,,,,,,,,,,,,,,
Sain,Producing high-quality plant-based meat alternatives for health-conscious consumers.,https://www.sainworld.com,India,https://www.linkedin.com/company/sain-milks/,2017,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Tarun Jain,https://www.linkedin.com/in/tarun-jain-68766599/?originalSubdomain=in,Founder and Managing Director,,,,,,,,,,,,,,,
Banyan Nation,"A company focused on recycling plastic waste into high-quality, sustainable materials.",https://www.banyannation.com,India,https://www.linkedin.com/company/banyan-nation/,2013,3,Series A,Industry,"Waste & recycling, Consumer products",Launch,"Indian Government, Twin Towers Ventures, Aster Capital",Mani Vajipeyajula,https://www.linkedin.com/in/mani-vajipeyajula-53b90b/,CoFounder and CEO,,,,,,,,,,,,,,,
Dharaksha Ecosolutions,Building a sustainable alternative to conventional packaging materials.,https://www.dharaksha.com,India,https://www.linkedin.com/company/dharaksha-ecosolutions/,2020,3.5,Seed,Industry,"Packaging, Waste & recycling",Pilot,"Avaana Capital, Soonicorn Ventures, LetsVenture, Momentum Capital",Arpit Dhupar,https://www.linkedin.com/in/dhupar-arpit/,Co-founder and CEO,Anand Bodh,https://www.linkedin.com/in/anand-bodh-72627468/,Co-founder and CTO,,,,,,,,,,,,
Biokraft Foods,Cultivated chicken and bioprinting.,https://www.biokraftfoods.com,India,https://www.linkedin.com/company/biokraft-foods/,2023,,Pre-Seed,Food & land use,Alternative foods,R&D,,Kamalnayan Tibrewal,https://www.linkedin.com/in/kamalnayan-tibrewal-08843b126/?originalSubdomain=in,Founder,,,,,,,,,,,,,,,
Flowtrik Technologies,Manufacturer of chargers designed for advanced batteries that are especially used in electric vehicles.,https://flowtrik.com,India,https://www.linkedin.com/company/flowtrik-technologies/,2019,,Seed,"Transportation, Energy","EV charging / fleet management, Batteries",Prototype,IIT Madras Incubation Cell,Anitha Dhianeshwar,,Co-Founder and Director,Prabhjot Kaur,https://www.linkedin.com/in/drprabhjotkaur/,Co-Founder and CEO,,,,,,,,,,,,
Creatara Mobility,"Develops electric scooters with IoT, machine learning, sensors, and GPS for enhanced safety and awareness.",https://creatara.com,India,https://www.linkedin.com/company/creatara/,2018,1,Seed,Transportation,Micromobility,Launch,"Foundation for Innovation and Technology Transfer (FITT), GEMS Partners, Ministry of Heavy Industries",Vikas Gupta,https://www.linkedin.com/in/vikashkrgupta/,Co-Founder and CEO,Ringo Pamei,https://www.linkedin.com/in/ringopamei/,Co-Founder and CTO,,,,,,,,,,,,
1Ness Foods,Offering plant-based alternatives to traditional dairy products.,https://1ness.in,India,https://www.linkedin.com/company/1ness-foods/,2019,,Pre-Seed,Food & land use,Alternative foods,Launch,,Dilip Joshi,https://www.linkedin.com/in/dilip-joshi-bb4ab120/?originalSubdomain=in,Managing Partner,,,,,,,,,,,,,,,
Zero Cow Factory,Pioneering animal-free dairy products using bioengineered microbes.,https://zerocowfactory.com,India,https://www.linkedin.com/company/zero-cow-factory/,2020,4.1,Seed,Food & land use,Alternative foods,R&D,"pi Ventures, GVFL, Green Frontier Capital, Artesian, BRINC",Sohil Kapadia,https://www.linkedin.com/in/sohil-kapadia-81766323/?originalSubdomain=in,Co-founder & CEO,Parini Kapadia,https://www.linkedin.com/in/parini-kapadia-33680017/?originalSubdomain=in,Co-founder & Chief Science Officer,,,,,,,,,,,,
EdgeGrid,A company developing AI-driven software to optimize energy grids.,https://www.edgegrid.com,India,https://www.linkedin.com/company/edgegrid/,2019,5.87,Seed,Energy,Grid management,Pilot,"Lightrock, Theia Ventures",Mushtaq Ahmed,https://www.linkedin.com/in/mushtaq-ahmed-8203b5/?originalsubdomain=in,Co-Founder,,,,,,,,,,,,,,,
Retü Foods,"Creating plant-based, sustainable food solutions.",https://www.retufoods.com,India,https://www.linkedin.com/company/ret%C3%BC-foods/,2020,0.3,Pre-Seed,Food & land use,Alternative foods,Pilot,"Big Idea Ventures, MassChallenge",Ritu Chhatwal,https://www.linkedin.com/in/rituchhatwal/?originalSubdomain=in,Founder,,,,,,,,,,,,,,,
